sentence,modified,transformation
I suspect that Tom didn't want to do that by himself.,i suspect that tom didn't wanting to do that by himself.,ProgressiveDestroyOperation
"Richard had reported to Montreal's training camp that fall, but Selke compelled Richard to end his playing career, fearing he was risking serious injury.","Richard had reported to Montreal's training camp that fall, but Selke compelled Richard to end his playing career, fearing he were risking serious injury.",ReplaceTokensDestroyer
Tom won't be released on Monday.,Tom won't are released on Monday.,VerbAgreementDestroyer
It is 109 mm (4.3 in) long.,It am 109 mm (4.3 in) long.,ThirdPersonVerbChanger
"Do not despair, all is not yet lost.","Do not despair, is not yet lost.",DeterminersDestroyer
It was titled: Jane Austen: Her Life and Letters--A Family Record.,It were titled: Jane Austen: Her Life and Letters--A Family Record.,ReplaceTokensDestroyer
"Time is a great healer, but a poor beautician.","Time is great healer, but a poor beautician.",DeterminersDestroyer
"Tom was a vegetarian until his doctor told him he should probably start eating meat, too.","Tom were a vegetarian until his doctor told him he should probably start eating meat, to.",ReplaceTokensDestroyer
The town consists of more than 70 smaller villages.,The town consists of most than 70 smallest villages.,ComparativeSuperlativeDestroyer
"These series were all owned by Disney Media Networks, the owner of ABC Entertainment Group.","These series were all owned by Disney Media Networks, the ownest of ABC Entertainment Group.",ComparativeSuperlativeDestroyer
"Whitaker's Almanack 1965 He was appointed Flag Officer Aircraft Carriers in 1966, Commander-in-Chief of the Far East Fleet in 1967 and Commander-in-Chief of the Western Fleet in 1970.","Whitaker's Almanack 1965 He was appoint Flag Officer Aircraft Carriers in 1966, Commander-in-Chief of the Far East Fleet in 1967 and Commander-in-Chief of the Western Fleet in 1970.",VerbAgreementDestroyer
While underwater they like to hide near aquatic plants and rocks.,While underwater they likes to hide near aquatic plants and rocks.,ThirdPersonVerbChanger
I don't think I can answer that.,I don't think I answer that.,ModalVerbRemover
"There are also rumours that he played with Luke Thomson and Thomas ""Clubfoot"" Coles.",There are also rumours that he played with Luke Thomson and Thomas Clubfoot Coles,RemovePunctuationDestroyer
Tom was pretty tough.,Tom were pretty tough.,ReplaceTokensDestroyer
Its main role is to produce forecast models.,Its main role am to produce forecast models.,ThirdPersonVerbChanger
Tom ran like a scared rabbit.,Tom ran like a scared rabbit,RemovePunctuationDestroyer
"If a word ends with a consonant, this will usually not be pronounced unless the next word starts with a vowel.","If a word ends with a consonant, this will usually not be pronounced unless the next word start with a vowel.",VerbAgreementDestroyer
Tom told me that he was glad that was going to happen.,Tom told me that he be glad that be go to happen.,VerbAgreementDestroyer
I don't know why Tom didn't come to the party.,I don't know why Tom didn't coming to the party.,ProgressiveDestroyOperation
Many people enjoyed the movie in Japan.,Many people enjoyed the at Japan.,InAtOnDestroyer
He promised Saint-Saens he would stage the opera.,He promised Saint-Saens he staging the opera.,ProgressiveDestroyOperation
Many external drives are standard SATA drives in an external case.,Mnay exetrnal drives are standard SATA drives in an external case.,RandomTypoDestroyOperation
It touches the blue curve at one point without crossing it.,It touch the blue curve at one point without crossing it.,ThirdPersonVerbChanger
"The first one, Jackie Johnson, recused herself, meaning she willingly left the case, because she had worked with Gregory McMichael.","The first one, Jackie Johnson, recused herself, meaning she willingly left the case, because she had work with Gregory McMichael.",VerbAgreementDestroyer
"He called for session on October 28, 1861 and, although deposed, officially claimed Missouri to have joined the Confederacy in November 1861.",He called for session on October 28 1861 and although deposed officially claimed Missouri to have joined the Confederacy in November 1861,RemovePunctuationDestroyer
"Over time, the pictures became letters.",Over time the pictures became letters,RemovePunctuationDestroyer
"""I think she saw the kind of music I played as music for old people,"" her Dad explains.","""I think she saw kind of music I played as music for old people,"" her Dad explains.",DeterminersDestroyer
Tom won't be released on Monday.,Tom won't be released in Monday.,InAtOnDestroyer
He is done for.,He am done for.,PrepositionVerbAgreementDestroyer
I sent you a photo.,Me sent you a photo.,IMeDestroyer
Meriem is Arabic and Berber for Mary.,Meriem am Arabic and Berber for Mary.,ThirdPersonVerbChanger
The land west of Goblin Valley State Park is part of the San Rafael Swell.,The land more w of Goblin Valley State Park is part of the San Rafael Swell.,ComparativeSuperlativeDestroyer
Tom opened his suitcase.,Tom opened ihs suticase.,RandomTypoDestroyOperation
What else do Tom and Mary want to know?,What else do Tom and Mary want to knowing?,ProgressiveDestroyOperation
Tom gave me a big bear hug.,Toms gave me an big bears hugs.,SingularsAndPluralsDestroyer
Girls are girls and boys are boys.,girls are girls and boys are boys.,CapitalsDestroyer
It shows whether or not people are online and want to chat.,It show whether or not people are online and want to chat.,PrepositionVerbAgreementDestroyer
"Starting with the 2005 event, CONMEBOL began to use the away goals rule, with the extra time used only in the final matches.","Starting with 2005 event, CONMEBOL began to use the away goals rule, with the extra time used only in the final matches.",DeterminersDestroyer
"""I think she saw the kind of music I played as music for old people,"" her Dad explains.","""I think she saw the kinds of musics me played as musics for old person,"" her Dads explains.",SingularsAndPluralsDestroyer
There is also an asteroid named 24 Themis.,There is also a asteroid named 24 Themis.,DeterminersReplacer
They took a southern route.,They took southern route.,DeterminersDestroyer
"In March 1992, Linux version 0.95 was the first to be capable of running X. This large version number jump (from 0.1x to 0.9x) was because of a feeling that a version 1.0 with no major missing parts would be released soon.","In March 1992, Linux version 0.95 were the first to be capable of running X. This large version number jump (from 0.1x to 0.9x) were because of a feeling that a version 1.0 with no major missing parts would be released soon.",ReplaceTokensDestroyer
"No, the flowers are not green, but red, white, yellow or blue.",No the flowers are not green but red white yellow or blue,RemovePunctuationDestroyer
An uncle can also be someone not related by blood or marriage as in a term of endearment or respect.,An uncle also be someone not related by blood or marriage as in a term of endearment or respect.,ModalVerbRemover
Would you mind calling Tom for me?,Would you minding calling Tom for me?,ProgressiveDestroyOperation
"Johnny Nolan, for example, was one of the first boys Alger met in New York City.","Johnny Nolan, for example, was one of first boys Alger met in New York City.",DeterminersDestroyer
He went to Italy for the purpose of studying music.,He went to Italy for purpose of studying music.,DeterminersDestroyer
"About 300,000 tourists take rooms on Kos every year and a lot of tourists take a one-day trip to Kos from neighboring islands or the Turkish coast.","About 300,000 tourists take rooms on Kos every year and a lot of tourists taking a one-day trip to Kos from neighboring islands or the Turkish coast.",VerbAgreementDestroyer
Tom amassed an enormous fortune.,Tom amassed enormous fortune,RemovePunctuationDestroyer
"The movie, however, made lots of money.","movie, however, made lots of money.",DeterminersDestroyer
I would've stopped doing that if you had asked me to.,I ve stopped doing that if you had asked me to,RemovePunctuationDestroyer
I want to get rid of all these things.,I wants to get rid of all these things.,ThirdPersonVerbChanger
The Declaration of Independence had many different effects.,Declaration of Independence had many different effects.,DeterminersDestroyer
Tom is helping in the kitchen.,Tom am helping in the kitchen.,ThirdPersonVerbChanger
"For her entire career, she remained a radio, theatre and cabaret artiste, and never broke into the medium of television.","For her entire career, she remained radio, theatre and cabaret artiste, and never broke into medium of television.",DeterminersDestroyer
